,Key,cluster
0,9,1.0
1,607,2.0
2,481,3.0
3,511,1.0
4,304,2.0
5,172,4.0
6,173,2.0
7,555,2.0
8,446,1.0
9,519,1.0
10,629,4.0
11,48,4.0
12,304,2.0
13,430,1.0
14,50,1.0
15,439,4.0
16,340,4.0
17,413,4.0
18,355,1.0
19,333,1.0
20,654,4.0
21,214,3.0
22,576,3.0
23,585,2.0
24,594,3.0
25,243,1.0
26,118,3.0
27,108,2.0
28,334,2.0
29,300,2.0
30,81,3.0
31,405,1.0
32,517,3.0
33,49,1.0
34,407,3.0
35,576,3.0
36,279,4.0
37,530,1.0
38,580,1.0
39,487,4.0
40,307,4.0
41,507,3.0
42,643,2.0
43,467,3.0
44,487,4.0
45,641,4.0
46,296,1.0
47,236,1.0
48,336,3.0
49,578,1.0
50,657,4.0
51,193,3.0
52,323,2.0
53,295,4.0
54,411,1.0
55,126,2.0
56,389,3.0
57,118,3.0
58,258,3.0
59,168,3.0
60,280,3.0
61,407,3.0
62,647,4.0
63,14,1.0
64,118,3.0
65,117,4.0
66,616,3.0
67,149,3.0
68,224,4.0
69,602,3.0
70,56,3.0
71,239,2.0
72,132,2.0
73,390,3.0
74,228,2.0
75,429,2.0
76,196,4.0
77,620,3.0
78,354,1.0
79,376,4.0
80,131,1.0
81,294,1.0
82,482,3.0
83,216,4.0
84,435,4.0
85,274,4.0
86,181,3.0
87,18,3.0
88,580,1.0
89,97,3.0
90,453,2.0
91,349,2.0
92,28,4.0
93,55,1.0
94,23,3.0
95,492,2.0
96,343,1.0
97,452,4.0
98,195,4.0
99,289,1.0
100,165,3.0
101,144,2.0
102,368,3.0
103,526,4.0
104,104,2.0
105,347,4.0
106,619,4.0
107,133,2.0
108,21,4.0
109,575,2.0
110,304,2.0
111,512,4.0
112,5,1.0
113,177,3.0
114,112,2.0
115,402,3.0
116,498,1.0
117,436,2.0
118,359,1.0
119,28,4.0
120,202,2.0
121,139,1.0
122,193,3.0
123,471,2.0
124,518,3.0
125,575,2.0
126,102,4.0
127,175,1.0
128,610,1.0
129,25,2.0
130,312,1.0
131,188,3.0
132,61,1.0
133,145,4.0
134,165,3.0
135,530,1.0
136,206,2.0
137,253,4.0
138,454,4.0
139,103,3.0
140,383,1.0
141,121,3.0
142,634,1.0
143,299,1.0
144,454,4.0
145,421,3.0
146,174,3.0
147,219,3.0
148,565,4.0
149,371,4.0
150,365,3.0
151,562,3.0
152,337,3.0
153,616,3.0
154,231,3.0
155,543,3.0
156,498,1.0
157,124,4.0
158,204,3.0
159,154,4.0
160,141,2.0
161,96,1.0
162,496,2.0
163,130,2.0
164,18,3.0
165,553,3.0
166,138,4.0
167,151,3.0
168,106,2.0
169,502,4.0
170,8,4.0
171,475,2.0
172,11,2.0
173,112,2.0
174,531,1.0
175,196,4.0
176,519,1.0
177,597,1.0
178,83,4.0
179,533,1.0
180,408,4.0
181,192,1.0
182,5,1.0
183,176,4.0
184,626,4.0
185,637,3.0
186,370,1.0
187,597,1.0
188,159,1.0
189,101,1.0
190,233,2.0
191,329,3.0
192,261,2.0
193,586,3.0
194,245,4.0
195,611,4.0
196,468,3.0
197,184,3.0
198,38,2.0
199,450,3.0
200,186,2.0
201,150,4.0
202,119,4.0
203,448,3.0
204,191,1.0
205,262,4.0
206,628,2.0
207,364,1.0
208,311,1.0
209,612,4.0
210,586,3.0
211,339,2.0
212,298,2.0
213,486,3.0
214,116,3.0
215,598,2.0
216,230,4.0
217,68,3.0
218,54,2.0
219,407,3.0
220,217,2.0
221,188,3.0
222,367,4.0
223,302,3.0
224,80,2.0
225,269,3.0
226,554,2.0
227,368,3.0
228,326,2.0
229,193,3.0
230,259,4.0
231,386,4.0
232,112,2.0
233,340,4.0
234,597,1.0
235,635,4.0
236,562,3.0
237,525,4.0
238,132,2.0
239,277,1.0
240,623,1.0
241,335,2.0
242,316,3.0
243,73,4.0
244,620,3.0
245,282,4.0
246,480,3.0
247,233,2.0
248,386,4.0
249,12,1.0
250,350,1.0
251,43,2.0
252,173,2.0
253,587,3.0
254,653,2.0
255,156,2.0
256,412,3.0
257,389,3.0
258,101,1.0
259,508,2.0
260,240,4.0
261,551,3.0
262,457,4.0
263,201,4.0
264,17,1.0
265,157,2.0
266,90,4.0
267,330,3.0
268,478,2.0
269,6,4.0
270,187,4.0
271,509,1.0
272,200,4.0
273,350,1.0
274,587,3.0
275,144,2.0
276,1,3.0
277,615,1.0
278,560,2.0
279,457,4.0
280,428,4.0
281,286,2.0
282,143,3.0
283,598,2.0
284,544,4.0
285,597,1.0
286,339,2.0
287,195,4.0
288,161,3.0
289,297,3.0
290,10,4.0
291,277,1.0
292,168,3.0
293,11,2.0
294,425,4.0
295,114,2.0
296,530,1.0
297,339,2.0
298,355,1.0
299,551,3.0
300,57,4.0
301,53,4.0
302,289,1.0
303,6,4.0
304,484,3.0
305,601,3.0
306,160,3.0
307,650,3.0
308,320,3.0
309,128,4.0
310,589,2.0
311,295,4.0
312,457,4.0
313,523,3.0
314,64,3.0
315,571,2.0
316,566,1.0
317,459,4.0
318,119,4.0
319,655,3.0
320,529,4.0
321,605,2.0
322,602,3.0
323,269,3.0
324,67,3.0
325,635,4.0
326,246,1.0
327,565,4.0
328,419,2.0
329,478,2.0
330,480,3.0
331,498,1.0
332,169,3.0
333,272,4.0
334,97,3.0
335,218,4.0
336,484,3.0
337,269,3.0
338,446,1.0
339,473,1.0
340,76,2.0
341,32,4.0
342,55,1.0
343,72,1.0
344,312,1.0
345,590,3.0
346,197,1.0
347,587,3.0
348,17,1.0
349,194,3.0
350,212,1.0
351,328,1.0
352,328,1.0
353,562,3.0
354,198,2.0
355,635,4.0
356,507,3.0
357,41,1.0
358,84,4.0
359,158,1.0
360,463,3.0
361,229,4.0
362,636,2.0
363,469,4.0
364,136,4.0
365,538,4.0
366,616,3.0
367,475,2.0
368,614,2.0
369,641,4.0
370,93,3.0
371,79,4.0
372,59,4.0
373,64,3.0
374,651,3.0
375,348,4.0
376,499,3.0
377,342,1.0
