,Key,cluster
0,212,1.0
1,166,2.0
2,219,1.0
3,193,3.0
4,217,1.0
5,145,2.0
6,191,3.0
7,24,3.0
8,82,1.0
9,158,2.0
10,176,3.0
11,33,3.0
12,115,2.0
13,117,2.0
14,167,2.0
15,180,2.0
16,5,2.0
17,184,2.0
18,1,3.0
19,108,3.0
20,161,1.0
21,69,3.0
22,77,3.0
23,11,2.0
24,56,2.0
25,169,2.0
26,74,3.0
27,158,2.0
28,153,3.0
29,211,2.0
30,183,1.0
31,67,2.0
32,214,2.0
33,27,3.0
34,172,3.0
35,189,3.0
36,57,2.0
37,156,2.0
38,214,2.0
39,28,3.0
40,130,1.0
41,28,3.0
42,206,1.0
43,185,1.0
44,170,1.0
45,46,1.0
46,197,2.0
47,176,3.0
48,158,2.0
49,52,2.0
50,31,1.0
51,117,2.0
52,23,1.0
53,86,3.0
54,99,3.0
55,212,1.0
56,76,1.0
57,95,1.0
58,105,1.0
59,106,2.0
60,114,2.0
61,17,1.0
62,27,3.0
63,113,3.0
64,11,2.0
65,93,3.0
66,114,2.0
67,29,2.0
68,68,2.0
69,187,1.0
70,103,2.0
71,219,1.0
72,158,2.0
73,180,2.0
74,82,1.0
75,7,1.0
76,143,2.0
77,141,2.0
78,9,3.0
79,22,1.0
80,61,2.0
81,155,2.0
82,151,3.0
83,19,2.0
84,29,2.0
85,104,3.0
86,52,2.0
87,94,3.0
88,18,1.0
89,80,3.0
90,131,3.0
91,4,1.0
92,4,1.0
93,31,1.0
94,141,2.0
95,110,3.0
96,85,1.0
97,31,1.0
98,193,3.0
99,189,3.0
100,79,3.0
101,201,2.0
102,89,3.0
103,159,2.0
104,44,1.0
105,192,1.0
106,169,2.0
107,195,3.0
108,168,1.0
109,77,3.0
110,206,1.0
111,124,2.0
112,125,2.0
113,209,2.0
114,198,2.0
115,130,1.0
116,36,3.0
117,198,2.0
118,47,1.0
119,221,1.0
120,147,1.0
121,88,3.0
122,83,3.0
123,204,1.0
124,142,2.0
125,220,3.0
126,171,3.0
127,48,2.0
128,95,1.0
129,184,2.0
130,44,1.0
131,79,3.0
132,11,2.0
133,3,3.0
134,205,3.0
135,95,1.0
136,77,3.0
137,158,2.0
138,108,3.0
139,40,2.0
140,149,2.0
141,139,2.0
142,163,1.0
143,162,3.0
144,108,3.0
145,129,3.0
146,211,2.0
147,10,3.0
148,188,2.0
149,158,2.0
150,186,3.0
151,53,3.0
152,65,3.0
153,176,3.0
154,128,2.0
155,45,2.0
156,46,1.0
157,202,1.0
158,105,1.0
159,194,3.0
160,181,3.0
161,131,3.0
162,162,3.0
163,44,1.0
164,220,3.0
165,218,3.0
166,115,2.0
167,172,3.0
168,95,1.0
169,33,3.0
170,158,2.0
171,130,1.0
172,84,2.0
173,23,1.0
174,78,1.0
175,132,2.0
176,187,1.0
177,114,2.0
178,108,3.0
179,106,2.0
180,118,3.0
181,149,2.0
182,42,1.0
183,170,1.0
184,66,1.0
185,80,3.0
186,98,2.0
187,222,3.0
188,193,3.0
189,29,2.0
190,16,3.0
191,117,2.0
192,135,3.0
193,133,1.0
194,123,3.0
195,78,1.0
196,141,2.0
197,137,1.0
198,44,1.0
199,22,1.0
200,1,3.0
201,145,2.0
202,49,3.0
203,35,1.0
204,132,2.0
205,9,3.0
206,124,2.0
207,9,3.0
208,177,3.0
209,219,1.0
210,178,3.0
211,202,1.0
212,217,1.0
213,64,3.0
214,213,3.0
215,53,3.0
216,207,3.0
217,54,3.0
218,37,2.0
219,89,3.0
220,207,3.0
221,126,2.0
222,109,1.0
