,Key,cluster
0,227,1.0
1,36,2.0
2,167,3.0
3,200,4.0
4,97,5.0
5,198,1.0
6,241,1.0
7,127,5.0
8,26,4.0
9,160,6.0
10,8,4.0
11,244,1.0
12,193,5.0
13,20,3.0
14,162,3.0
15,254,1.0
16,236,3.0
17,83,3.0
18,107,2.0
19,243,5.0
20,57,6.0
21,121,4.0
22,42,5.0
23,136,4.0
24,182,5.0
25,179,3.0
26,120,3.0
27,162,3.0
28,177,6.0
29,52,2.0
30,168,4.0
31,145,5.0
32,90,1.0
33,176,1.0
34,173,3.0
35,233,4.0
36,152,5.0
37,119,3.0
38,29,1.0
39,60,5.0
40,193,5.0
41,49,5.0
42,198,1.0
43,196,2.0
44,70,1.0
45,84,1.0
46,198,1.0
47,96,4.0
48,107,2.0
49,8,4.0
50,232,5.0
51,206,1.0
52,50,5.0
53,241,1.0
54,69,1.0
55,22,6.0
56,186,6.0
57,226,1.0
58,74,2.0
59,220,1.0
60,135,3.0
61,70,1.0
62,181,2.0
63,190,5.0
64,252,3.0
65,125,1.0
66,3,2.0
67,186,6.0
68,188,5.0
69,247,2.0
70,48,3.0
71,210,5.0
72,5,3.0
73,239,2.0
74,212,4.0
75,217,1.0
76,97,5.0
77,202,5.0
78,211,5.0
79,204,4.0
80,8,4.0
81,197,5.0
82,148,5.0
83,232,5.0
84,10,6.0
85,9,4.0
86,230,1.0
87,2,6.0
88,204,4.0
89,209,2.0
90,247,2.0
91,210,5.0
92,214,2.0
93,134,2.0
94,51,2.0
95,133,1.0
96,47,2.0
97,87,1.0
98,165,5.0
99,44,1.0
100,173,3.0
101,68,4.0
102,108,1.0
103,232,5.0
104,29,1.0
105,201,6.0
106,66,2.0
107,76,2.0
108,40,5.0
109,178,6.0
110,24,3.0
111,58,4.0
112,166,2.0
113,160,6.0
114,30,5.0
115,223,5.0
116,5,3.0
117,207,2.0
118,120,3.0
119,26,4.0
120,156,2.0
121,177,6.0
122,186,6.0
123,159,4.0
124,84,1.0
125,249,4.0
126,223,5.0
127,38,6.0
128,45,4.0
129,160,6.0
130,202,5.0
131,235,4.0
132,177,6.0
133,60,5.0
134,42,5.0
135,61,1.0
136,58,4.0
137,44,1.0
138,220,1.0
139,246,6.0
140,224,2.0
141,161,2.0
142,23,4.0
143,166,2.0
144,122,2.0
145,79,5.0
146,86,6.0
147,114,5.0
148,139,5.0
149,255,6.0
150,163,3.0
151,48,3.0
152,70,1.0
153,98,6.0
154,85,3.0
155,95,3.0
156,181,2.0
157,141,4.0
158,67,4.0
159,111,5.0
160,226,1.0
161,162,3.0
162,176,1.0
163,87,1.0
164,168,4.0
165,134,2.0
166,94,5.0
167,1,1.0
168,192,3.0
169,131,3.0
170,90,1.0
171,142,2.0
172,63,4.0
173,196,2.0
174,199,4.0
175,199,4.0
176,95,3.0
177,228,6.0
178,77,5.0
179,21,1.0
180,161,2.0
181,29,1.0
182,120,3.0
183,35,5.0
184,238,1.0
185,44,1.0
186,82,2.0
187,66,2.0
188,248,1.0
189,53,2.0
190,179,3.0
191,23,4.0
192,175,1.0
193,168,4.0
194,89,1.0
195,245,4.0
196,14,6.0
197,17,1.0
198,43,4.0
199,125,1.0
200,211,5.0
201,243,5.0
202,109,3.0
203,65,2.0
204,79,5.0
205,239,2.0
206,33,4.0
207,163,3.0
208,28,1.0
209,60,5.0
210,146,6.0
211,115,2.0
212,81,4.0
213,214,2.0
214,109,3.0
215,144,5.0
216,220,1.0
217,116,5.0
218,154,4.0
219,128,5.0
220,189,3.0
221,191,5.0
222,104,1.0
223,123,3.0
224,179,3.0
225,204,4.0
226,12,2.0
227,228,6.0
228,2,6.0
229,148,5.0
230,59,6.0
231,37,5.0
232,110,6.0
233,31,2.0
234,25,6.0
235,111,5.0
236,234,4.0
237,83,3.0
238,24,3.0
239,255,6.0
240,118,2.0
241,125,1.0
242,255,6.0
243,212,4.0
244,236,3.0
245,207,2.0
246,90,1.0
247,237,4.0
248,177,6.0
249,157,2.0
250,75,5.0
251,201,6.0
252,241,1.0
253,206,1.0
254,53,2.0
255,31,2.0
256,227,1.0
