,Key,cluster
0,122,1.0
1,165,2.0
2,101,1.0
3,154,3.0
4,34,4.0
5,126,4.0
6,72,5.0
7,118,5.0
8,164,2.0
9,149,4.0
10,140,1.0
11,129,6.0
12,124,4.0
13,90,6.0
14,28,6.0
15,57,3.0
16,158,1.0
17,50,6.0
18,113,4.0
19,134,1.0
20,59,6.0
21,111,2.0
22,36,2.0
23,106,4.0
24,81,3.0
25,154,3.0
26,36,2.0
27,120,5.0
28,40,3.0
29,16,3.0
30,98,3.0
31,81,3.0
32,47,5.0
33,106,4.0
34,81,3.0
35,26,1.0
36,120,5.0
37,34,4.0
38,41,1.0
39,106,4.0
40,3,3.0
41,100,5.0
42,124,4.0
43,150,3.0
44,148,1.0
45,82,4.0
46,112,5.0
47,120,5.0
48,34,4.0
49,15,3.0
50,20,3.0
51,131,6.0
52,35,4.0
53,44,4.0
54,32,2.0
55,65,4.0
56,77,4.0
57,34,4.0
58,132,6.0
59,48,6.0
60,153,3.0
61,120,5.0
62,71,3.0
63,83,3.0
64,145,6.0
65,74,3.0
66,31,6.0
67,33,5.0
68,167,6.0
69,140,1.0
70,26,1.0
71,165,2.0
72,147,4.0
73,90,6.0
74,20,3.0
75,2,2.0
76,21,4.0
77,88,5.0
78,24,1.0
79,55,2.0
80,93,3.0
81,72,5.0
82,70,4.0
83,165,2.0
84,3,3.0
85,97,3.0
86,122,1.0
87,96,6.0
88,86,6.0
89,65,4.0
90,111,2.0
91,29,3.0
92,71,3.0
93,140,1.0
94,1,1.0
95,157,1.0
96,66,6.0
97,60,4.0
98,36,2.0
99,10,4.0
100,35,4.0
101,104,6.0
102,64,3.0
103,94,3.0
104,52,2.0
105,152,5.0
106,122,1.0
107,154,3.0
108,62,4.0
109,86,6.0
110,103,6.0
111,19,6.0
112,148,1.0
113,15,3.0
114,38,1.0
115,116,2.0
116,159,1.0
117,3,3.0
118,62,4.0
119,97,3.0
120,97,3.0
121,33,5.0
122,80,2.0
123,127,6.0
124,158,1.0
125,152,5.0
126,158,1.0
127,82,4.0
128,79,6.0
129,97,3.0
130,125,1.0
131,46,3.0
132,72,5.0
133,36,2.0
134,28,6.0
135,157,1.0
136,16,3.0
137,66,6.0
138,149,4.0
139,161,6.0
140,104,6.0
141,74,3.0
142,74,3.0
143,32,2.0
144,30,3.0
145,99,1.0
146,53,3.0
147,33,5.0
148,12,2.0
149,9,3.0
150,91,1.0
151,154,3.0
152,38,1.0
153,25,1.0
154,90,6.0
155,26,1.0
156,73,6.0
157,91,1.0
158,75,1.0
159,148,1.0
160,66,6.0
161,94,3.0
162,139,3.0
163,6,6.0
164,63,1.0
165,8,6.0
166,86,6.0
167,123,4.0
168,109,6.0
169,145,6.0
170,88,5.0
